gene,CK_mean,HS_mean,loop_ckmean,loop_hsmean,K4_ckmean,K4_hsmean,K27_ckmean,K27_hsmean,atac_ckmean,atac_hsmean,com_ckmean,com_hsmean
Zm00001d021282,5.831456402,7.094662688,-1.248537064,-1.108691544,-0.453917354,-0.329016417,-0.148341169,-0.438483241,-0.095449069,-0.059294727,0.843200966,0.942076831
Zm00001d021283,1.507591528,1.948530829,-0.725872858,-0.636512602,0.434670211,0.147831216,-0.200418888,-0.168089586,0.033940843,0.01473635,0.74675982,0.589311311
Zm00001d021280,1.475627954,0.359447703,-0.62959261,-0.414310747,0.11368842,-0.305370854,-0.117614659,-0.270900783,-0.036882637,-0.053691652,0.843200966,0.942076831
Zm00001d021281,0,0,-0.28573458,-0.247659356,-1.334760549,-1.317794614,0.064990101,-0.421052464,-0.101276511,-0.026276282,0.843200966,0.942076831
Zm00001d021286,0,0,2.437621016,1.627168794,1.476976127,1.517066791,5.419026739,3.975742019,0.017697094,0.042775162,0.831168206,1.294207418
Zm00001d021284,0,0,-0.725872858,-0.636512602,-0.176625399,-0.131457255,-0.08192584,0.290965186,0.399068418,0.480047914,0.74675982,0.589311311
Zm00001d021285,0.073376962,0.301251661,-0.258225938,-0.586517185,1.662494468,1.634683202,3.142532074,2.413618765,0.043506733,0.077169355,0.74675982,0.589311311
Zm00001d020487,1.541397542,2.367094523,-0.175700011,0.280070049,2.080027151,1.972235811,-0.116960005,-0.198680215,0.050309248,0.100208807,0.016037843,0.864835324
Zm00001d020486,4.730975513,5.863198615,0.649559261,1.307753628,1.313471313,1.1933139,-0.103941286,0.122487295,0.082666873,0.103227924,0.016037843,0.864835324
Zm00001d048179,0.244924394,0.037118377,-1.248537064,-1.192017239,-1.34737744,-1.310073558,-0.247848838,-0.390251722,-0.10322253,-0.08872538,-0.638117509,-0.68256526
Zm00001d021752,2.845428294,4.786483399,-0.725872858,-0.571703728,-0.364115677,-0.45357591,-0.235998385,-0.315344754,0.020263553,-0.020996031,1.238668506,1.240289103
Zm00001d021753,0.577272032,0.79575836,-0.725872858,-1.247567703,-0.95770987,-1.17595968,-0.175759818,-0.219028098,0.006396408,-0.007522823,0.735623952,0.696509303
Zm00001d021754,3.697791831,4.738586237,-0.450786434,-0.508746536,-0.2283933,-0.235674404,-0.184446622,-0.309363288,-0.002804162,0.018007894,0.735623952,0.696509303
Zm00001d053642,4.218561803,4.309706572,0.560156173,-0.004626077,1.782498441,2.482158188,-0.1449048,-0.109876708,0.321380256,0.163274774,1.213610324,1.400455943
Zm00001d053641,5.126173808,5.719751716,-0.780890143,-0.858714457,0.060051819,0.185017549,-0.240506008,-0.111481577,0.050363096,-0.026550778,1.213610324,1.400455943
Zm00001d021759,3.029369484,3.844977448,-0.849661749,-1.12257916,-1.133757341,-0.450551785,-0.150391162,-0.402800224,0.087378538,0.123630274,0.324529805,-0.118073596
Zm00001d048173,0.827561348,0.861447785,-0.753381501,-0.830939225,-0.742979739,-0.702102541,-0.261671921,-0.30108582,-0.092496751,-0.035796902,0.00408802,-0.178327359
Zm00001d048172,0.309702014,0,-0.753381501,-0.830939225,-0.011206453,0.160012187,-0.171573317,-0.247066912,0.107686056,0.160311571,0.200928816,-0.173128412
Zm00001d048175,5.499837109,4.731485148,-0.753381501,-0.830939225,0.167550529,0.081500989,-0.279950867,-0.263987498,-0.082432072,-0.10832352,0.270265946,0.235338676
Zm00001d053649,4.95235932,5.476145886,0.718330867,0.07175581,-0.573153619,-0.623367286,-0.173229501,-0.285322354,-0.111399092,-0.052952213,1.560293415,1.521036224
Zm00001d016411,5.787927992,7.084846009,0.003106165,0.349508129,1.183116644,1.341696343,-0.13028535,-0.117554505,0.028196045,0.048831867,-1.06340063,-1.314849282
Zm00001d016410,5.066644801,6.624783478,0.003106165,0.349508129,-0.228776748,-0.299084676,-0.148490151,-0.084036036,-0.058069065,-0.049783062,-1.06340063,-1.314849282
Zm00001d016415,0.263336939,0.618172863,-0.753381501,-0.247659356,3.813905435,3.214783569,0.083514085,0.188143951,0.068571701,0.13035068,-2.01919361,-2.511312684
Zm00001d016414,0.394995143,0.997956659,-0.753381501,-0.247659356,4.225196449,3.641353952,-0.046123136,0.632660891,0.013217659,0.038057511,-2.01919361,-2.511312684
Zm00001d038980,1.890772486,2.502347576,0.622050619,1.092495581,-0.286235989,-0.540182046,-0.170448827,-0.384734467,-0.040138833,-0.017895977,-0.328304837,0.116363386
Zm00001d013521,0.285444833,0.427306161,0.429490122,0.335620513,0.090034952,-0.214358317,-0.230496551,-0.203595865,-0.063831241,-0.011116759,1.647755792,1.480931075
Zm00001d012248,0,0,-0.753381501,-1.636420949,-0.3779547,-0.998511649,-0.022478922,-0.305724788,-0.000229468,0.019961144,-0.114053077,-0.66906281
Zm00001d012249,0.024103093,0.074212209,-0.987204961,-1.539207638,2.540369697,0.330571926,-0.164785562,-0.176440414,0.000833721,-0.007783138,-0.114053077,-0.66906281
Zm00001d045036,3.904749523,5.612278534,0.305701231,0.946675614,0.262943196,1.249087832,-0.207330619,-0.300945404,-0.09677643,-0.112711085,0.505551812,0.946580661
Zm00001d012240,1.559607975,2.349572872,0.704576546,0.405058593,0.070702696,0.016588923,-0.181344691,-0.251903351,0.026653709,0.052366994,0.448500538,0.827353266
Zm00001d012241,1.532465419,1.915953995,0.704576546,0.405058593,0.523665229,0.425218034,-0.222698418,-0.351271801,0.048799897,0.017370474,0.448500538,0.827353266
Zm00001d012243,1.10939756,1.780213216,0.608296297,0.391170977,0.838382861,0.94247747,-0.225144561,-0.274815045,0.006579908,-0.032511824,-0.561850786,-1.078303691
Zm00001d012244,4.231563968,4.201339725,-0.547066683,-0.900377305,-0.149289285,-0.108005828,-0.244035901,-0.414143993,-0.143379712,-0.099137468,-0.561850786,-1.078303691
Zm00001d012247,3.362006216,4.119566783,-1.468606203,-1.164242007,0.191014673,0.119525374,-0.237524674,-0.137647083,0.039354648,0.05048368,-0.114053077,-0.66906281
Zm00001d052990,2.874508529,3.167573042,0.75959383,0.252294817,0.010835894,-0.103640121,-0.206082017,-0.177297253,-0.012945265,0.020037112,0.299039738,-0.147502065
Zm00001d052992,2.211118548,3.683515086,1.598607423,0.752248991,-0.804058797,-0.891202185,-0.169512045,-0.151296253,-0.092027832,-0.047698513,0.402884677,0.538028719
Zm00001d052993,1.509687904,2.262770188,1.282258036,0.627260447,-0.99659795,-1.09959278,-0.095371144,0.074263271,-0.105770464,-0.021765038,0.402884677,0.538028719
Zm00001d052994,0,0,-1.221028421,-0.969815384,-0.824830914,-0.989805135,-0.135158176,-0.114004265,-0.077665214,-0.024252475,0.402884677,0.538028719
Zm00001d052995,0,0,-1.221028421,-0.969815384,-0.779130371,-0.96710406,-0.148542343,-0.117959321,-0.070853069,-0.001666719,0.402884677,0.538028719
Zm00001d052996,1.825263395,2.655657052,-0.560821004,-0.414310747,-0.373656135,-0.392804008,-0.211943831,-0.090437767,-0.15679446,-0.116205593,0.16640081,-0.012851855
Zm00001d052997,1.929710593,2.62464425,0.512016049,0.196744354,-0.391422533,-0.453717742,-0.201664477,-0.067126854,-0.116844118,-0.0912966,0.123066323,-0.113797969
Zm00001d052999,0,0,-0.340751865,-0.580962138,-0.854131203,-0.770800915,2.687398259,3.286890342,-0.147075222,-0.131603018,0.127608937,-0.342327573
Zm00001d014626,4.047607195,5.168525724,-0.982620187,-1.145725186,-0.407604838,-0.390299454,-0.239657322,-0.2080509,-0.120938272,-0.147558143,-0.953790134,-0.831003485
Zm00001d039623,0,0,-0.038156799,-0.192108892,-1.354518302,-1.333788574,-0.255656951,-0.34689213,-0.149554934,-0.096492961,0.511602846,0.693597549
Zm00001d050172,4.687758755,5.066443174,0.36530329,-0.201367303,-0.88611801,-0.961286351,-0.151205986,-0.348688166,-0.109104802,-0.077367233,-1.16082788,-0.737635588
Zm00001d050173,4.672510619,4.153250062,0.553279013,0.543934752,-0.226784794,-0.08184648,-0.217244388,-0.207503138,-0.052488185,-0.033641736,-1.063577487,-0.880425588
Zm00001d050174,2.86964278,3.432430634,0.512016049,0.780024223,0.618542775,0.899989774,-0.222453367,-0.036051419,-0.040713939,-0.070175564,-1.120442709,-0.793336025
Zm00001d038984,11.78046785,7.880250427,0.106263574,0.870293726,4.317021565,3.65253854,-0.134035216,0.17552599,0.509668647,0.222889986,-0.201861334,0.299423544
Zm00001d050179,5.535866281,7.04661878,-0.97345064,-0.914264921,-0.22141323,-0.260159887,-0.249371093,0.074597582,-0.110025664,-0.105076873,-2.111088422,-1.989585586
Zm00001d014623,0.118069962,1.047411586,-0.065665441,-0.636512602,1.271047419,1.229136906,-0.144508686,-0.193859788,-0.115841757,-0.104530954,-1.163061533,-0.869495187
Zm00001d039624,6.304986313,5.678767462,-0.230717295,0.520788725,0.407798594,0.286106352,-0.178626342,-0.07155885,0.298682434,0.050950024,0.511602846,0.693597549
Zm00001d039626,2.39075792,2.3315258,0.236929625,1.085551773,-0.167626152,-0.099309366,-0.235333025,-0.240915349,-0.085346797,-0.102751409,0.30150785,0.410723196
Zm00001d012869,4.04066026,4.642994355,-0.86341607,-0.830939225,-0.986642441,-0.843681705,-0.240002593,-0.271386789,-0.073856494,-0.055955688,1.687968097,1.837716596
Zm00001d049623,2.116576576,2.658267094,0.897137042,0.155081506,0.469107662,0.396588631,-0.247417557,-0.11326402,-0.079875491,-0.138037995,0.322704445,0.329275222
Zm00001d049621,3.908078919,4.160646404,0.75959383,-0.164333661,-0.420844676,-0.413130919,-0.22330553,-0.149770166,-0.152477362,-0.147166384,0.267170366,-0.365497156
Zm00001d049627,4.987030114,6.131105652,1.034680254,0.474496672,-0.452281228,-0.58921928,-0.198680725,-0.296347129,-0.059134825,-0.017520114,0.52591625,0.704383867
Zm00001d049624,0.328457362,0.244049607,1.034680254,0.474496672,-0.304386795,-0.432995711,-0.234331619,-0.22860377,-0.151259845,-0.103941918,0.322704445,0.329275222
Zm00001d049625,3.257938916,3.407939273,1.034680254,0.474496672,-0.401290742,-0.668718428,-0.026246553,-0.217729708,-0.075398631,-0.005729152,0.322704445,0.329275222
Zm00001d049628,2.50022503,3.936699555,1.034680254,0.474496672,-0.32423048,-0.523538236,-0.226983751,-0.229480812,-0.091405334,-0.071264729,0.52591625,0.704383867
Zm00001d016036,4.225966338,3.983883567,-0.643346931,-0.553186907,-0.364793671,-0.589079148,-0.03940008,0.454048781,0.042205409,0.095502685,-1.901894581,-2.079423404
Zm00001d043474,4.259083606,4.438521726,0.071877771,-0.025457501,2.344608065,2.186692648,-0.110718347,-0.173886955,0.394734343,0.203597991,0.074987096,0.083000218
Zm00001d043471,0,0.012728845,-0.230717295,-0.504580251,-1.281922666,-1.310708181,-0.101366814,0.03038686,-0.023128188,0.040424365,-0.217612824,-0.259310349
Zm00001d043470,0.015790132,0.097184217,-0.230717295,-0.504580251,0.004766356,0.262947234,-0.114510445,-0.080609907,0.031282217,0.038348971,-0.217612824,-0.259310349
Zm00001d043473,2.32525016,3.721708702,-0.097758857,-0.030086707,-0.32527338,-0.490105963,-0.231044378,-0.295947402,-0.124355675,-0.085372499,0.446483371,-0.126321169
Zm00001d005244,2.634999071,3.601153839,-0.533312362,-0.455973595,0.227280405,0.07525057,-0.159838884,-0.13938764,0.095495071,0.04528081,-0.485790888,-0.698116109
Zm00001d047508,0,0,-0.945941997,-1.330893399,-1.346938969,-1.34860124,-0.203533205,-0.33888944,0.013010866,0.027070827,0.42006538,0.263505781
Zm00001d047506,3.941301037,4.640892063,-0.340751865,0.131935479,-0.80869255,-0.82609843,-0.182502029,-0.371742748,-0.173685773,-0.145396914,1.505001564,1.074765867
Zm00001d047503,6.535169036,3.786970508,-0.203208653,1.113327005,0.769201157,0.822984268,-0.240599766,-0.021973914,0.261192149,0.089816409,2.110548254,2.081905556
Zm00001d047502,4.206663018,4.65677064,-0.203208653,1.113327005,0.283845094,0.403013066,-0.198906111,-0.274537313,-0.05286621,0.006273597,2.110548254,2.081905556
Zm00001d034839,5.604089743,6.314531887,-0.854246523,-0.738355119,2.473126757,2.973257006,-0.137971868,-0.127755261,0.254416097,0.146482597,0.589456099,0.876350111
Zm00001d034838,2.888322692,3.533453502,-0.148191368,-0.321726641,-0.181327156,-0.272944673,-0.252078254,-0.269582733,-0.073166104,-0.016237051,0.164705962,-0.182581872
Zm00001d034833,4.889940785,4.66650673,0.319455552,0.613372832,-0.514339585,-0.596934841,-0.175322079,-0.321940181,-0.085692916,-0.050972258,0.008389304,-0.40351178
Zm00001d034832,2.696912942,2.804311819,0.319455552,0.613372832,-0.755002532,-0.798463565,-0.21114474,-0.378510229,-0.158082022,-0.142009767,0.008389304,-0.40351178
Zm00001d034830,0.044353082,0,-0.120682726,0.974450846,0.125118284,-0.151744595,-0.208999653,-0.281957679,-0.05208364,0.083492911,0.008389304,-0.40351178
Zm00001d034837,0.023293209,0,-0.148191368,-0.321726641,-0.925073901,-0.929477826,-0.173830573,-0.363372633,-0.038885698,-0.039350689,0.164705962,-0.182581872
Zm00001d034836,3.401624869,3.826591196,0.071877771,0.030092963,-0.10630115,-0.057462699,-0.164005669,-0.418960976,-0.106205519,-0.1156086,0.164705962,-0.182581872
Zm00001d034835,3.510332944,4.394297959,-0.203208653,-0.018513693,-0.067341477,-0.126363073,-0.160843742,-0.091323557,0.085036441,0.041445896,0.164705962,-0.182581872
Zm00001d034834,5.692279514,6.253674499,1.37395351,1.474405019,-0.042816107,0.194984455,-0.198105891,-0.254451078,0.028655177,-0.034189246,0.382571144,0.017741764
Zm00001d038678,5.658965572,3.142046155,0.887967495,1.002226078,-0.295946159,-0.297216092,-0.166830474,-0.257887122,-0.006499059,-0.019308616,1.161159544,0.982069645
Zm00001d041908,0.02263863,0,-2.046287693,-1.49754479,2.689801806,2.757554504,-0.095690715,0.167193403,-0.08322591,-0.101367042,-1.523676452,-2.094533403
Zm00001d041900,1.818514929,3.67314421,-1.166011137,-1.080916312,-0.89737032,-0.946640998,-0.220122876,-0.262405744,-0.150366577,-0.09417659,-0.824046942,-0.92297921
Zm00001d030684,0,0,-1.179765458,-1.303118167,-1.315181815,-1.342496635,-0.057825483,-0.365026121,-0.119275384,-0.044050072,-1.776645027,-0.833283332
Zm00001d030682,0.249615643,0.774068599,-1.037637472,-1.247567703,1.89198936,1.982504526,0.176132566,0.335892863,-0.064753222,-0.043535312,-1.776645027,-0.833283332
Zm00001d018850,0,0,-0.712118537,-0.74761353,-1.353349157,-1.344230879,-0.193770747,-0.410704245,-0.117470137,-0.058248495,0.208864522,0.255643944
Zm00001d032935,1.046813718,0.929417338,-0.684609895,-0.60873737,1.702757264,1.46096479,0.070029734,0.481905194,-0.100854999,-0.07412662,-0.587268996,-0.925132793
Zm00001d032931,2.846321205,2.859855744,-0.615838289,-0.039345117,-0.539785271,-0.458773942,-0.248628963,-0.320262287,-0.139529107,-0.142946875,-0.484159945,-0.794417834
Zm00001d032932,1.016903469,0.812893569,-0.551651457,-0.516153264,1.462809909,1.523289438,-0.212952829,-0.06328892,0.006900542,0.011104125,-0.484159945,-0.794417834
Zm00001d032933,4.126780506,2.368848419,-0.416400632,-0.164333661,-0.419338092,-0.314460674,-0.227264997,-0.368826562,-0.121509393,-0.15212014,0.078974572,-1.219795611
Zm00001d032938,0.141945861,0.076352036,-1.138502494,-0.997590616,0.502784205,0.26636046,0.007672652,-0.315642952,-0.078505279,-0.113806976,-0.652192528,-1.082138622
Zm00001d007202,1.664628468,4.491976201,0.52577037,0.613372832,-0.949988239,-1.00875059,-0.162941756,-0.114159792,-0.108377702,-0.002040785,0.410000042,0.214601527
Zm00001d007200,1.397489203,0.634326543,1.814091789,1.400337734,-0.241152444,-0.366309505,-0.19938102,-0.102679871,0.037580431,-0.029391294,0.761521768,0.987810358
Zm00001d007201,2.645003426,1.984503436,1.814091789,1.400337734,-0.262083042,-0.222943802,-0.254772875,-0.195417032,-0.002239133,-0.075905113,0.761521768,0.987810358
Zm00001d028475,3.950569567,3.880855707,-0.175700011,-0.497636443,0.263661597,0.124781119,-0.159034082,-0.274692255,-0.063578944,-0.040622419,-0.176197398,-0.250408232
Zm00001d028472,5.236219718,4.498312596,0.044369128,0.067126605,-0.037716879,-0.138203217,-0.195090819,-0.275421718,0.043199697,-0.075079212,-0.250682509,-0.397310204
Zm00001d010819,1.8758292,2.883085082,1.804922241,0.557822368,0.485656966,0.553741628,-0.119797883,-0.018161579,0.05474423,0.016106688,1.094562023,0.937329686
Zm00001d002520,7.123194411,7.590332227,-0.540189522,-0.192108892,0.31652004,0.186891088,-0.225070652,-0.42101145,0.242632396,0.079865703,0.819916619,0.861661761
Zm00001d002521,4.201227602,4.485152367,1.667379029,2.918717076,0.187973096,-0.013968082,-0.205654926,-0.442275137,0.178054593,0.049763649,0.819916619,0.861661761
Zm00001d002522,4.204877974,3.532952212,1.667379029,2.918717076,0.89763774,0.742562852,-0.024020725,0.174410454,0.664790699,0.334683464,0.819916619,0.861661761
Zm00001d010818,0.431263511,0.087018762,1.804922241,0.557822368,0.034357433,-0.271700292,-0.149974024,-0.082514631,-0.06939443,-0.029746017,1.094562023,0.937329686
Zm00001d030937,3.641590573,4.403893255,0.319455552,0.002317731,-0.641248283,-0.698114052,-0.231233115,-0.283584369,-0.073626165,-0.057627546,-1.479329707,-1.988494152
Zm00001d045950,2.293482513,2.31530692,-0.560821004,0.057868194,0.016853839,-0.080775565,-0.162588205,-0.11639775,-0.022695143,-0.02120116,-1.067429902,-0.464009983
Zm00001d045953,2.444415377,3.030120924,-1.179765458,-1.094803928,-0.660986567,-0.710161607,-0.180960449,-0.066016433,-0.056607009,0.005834049,-2.081064148,-1.726800552
Zm00001d045954,2.917441622,4.137135453,-0.478295077,-0.368018694,-0.721465607,-0.868981976,-0.062127032,-0.004426325,-0.015890737,0.066842851,-1.315729591,-1.138509805
Zm00001d032687,3.986005103,3.803391173,0.422612961,0.842518494,-0.396849207,-0.651088118,-0.108459888,-0.097379775,0.05767726,0.063405722,-0.410841466,-0.530563773
Zm00001d045956,3.232571788,3.348197995,0.498261728,1.057776541,-0.466083296,-0.530688202,-0.255670166,-0.214612698,-0.167180777,-0.137802075,-1.799362981,-1.03798034
Zm00001d032685,3.165846889,4.385406647,0.374472837,0.661979487,-0.786210385,-0.826257197,-0.188863971,-0.225807232,-0.044801819,-0.039673568,-0.139885014,-0.419030662
Zm00001d032689,1.837085576,2.917460908,-1.110993852,-0.942040153,-0.895217505,-1.010504145,-0.150844964,-0.259833015,-0.090720478,-0.034340909,-0.37084961,-0.219646636
Zm00001d013388,0.056722242,0.145664414,0.842119758,0.724473759,-1.317986951,-1.29341938,-0.254742493,-0.465908739,-0.143641708,-0.10674244,1.527641881,1.346767175
Zm00001d013389,2.804670525,3.075719103,0.498261728,0.620316639,-0.70618018,-0.719469795,-0.215187,-0.272164199,-0.069327926,-0.011483608,1.527641881,1.346767175
Zm00001d038672,4.554889924,5.394780861,2.162534592,2.877054228,-0.693900895,-0.718023404,-0.194886986,-0.19584466,-0.047390793,-0.040699213,0.747751977,1.379862616
Zm00001d013383,2.714714798,3.250170906,0.163573245,0.159710711,0.033660652,-0.044044161,-0.24884297,-0.150349897,-0.027113612,-0.008300572,1.409122937,1.046664365
Zm00001d013380,3.137713136,3.694151308,-0.230717295,0.030092963,-0.676917881,-0.723347656,-0.191245196,-0.256706196,-0.077246227,-0.037854249,1.762864676,1.60535809
Zm00001d013386,1.551381647,2.937934659,0.842119758,0.724473759,-0.899592262,-0.332482789,-0.26292878,-0.473834818,0.006516758,-0.034850915,1.527641881,1.346767175
Zm00001d013387,0.120556761,0.612936222,0.842119758,0.724473759,-1.082704937,-0.76883375,-0.243269474,-0.44905675,-0.052553769,-0.036191504,1.527641881,1.346767175
Zm00001d013384,0.183978921,1.738694782,0.787102473,0.641148063,-1.044175632,-0.678002404,-0.245464871,-0.189632681,0.028104913,0.024526669,1.409122937,1.046664365
Zm00001d013385,0.363206221,0.883441218,1.158469145,1.016113693,2.026750092,1.88586038,-0.107917773,0.068204007,0.029107281,0.051466741,1.409122937,1.046664365
Zm00001d030756,0.117299189,0.034504977,0.374472837,-0.025457501,-1.319943321,-1.289208485,-0.130738607,-0.1956656,-0.127777123,-0.105627061,-1.171325243,-1.29835595
Zm00001d033088,2.247583453,1.173723155,-0.437032113,-0.289322204,-0.808065349,-0.880974987,-0.116477505,-0.139193933,-0.178763764,-0.118964779,-0.36212426,-0.297560968
Zm00001d033087,0,0,-0.28573458,-0.136558429,-0.928157761,-0.84018917,3.761936835,2.647692675,-0.192559423,-0.123235163,-0.774588199,-0.679787588
Zm00001d033084,3.571147968,4.775679454,-0.588329646,-0.442085979,1.112064478,0.968186296,-0.145436269,-0.100255256,-0.019986616,-0.10252901,-0.23396169,-0.13950816
